sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"08/03/2024","8400/000 : FNB","24492164067000013620108","Account Payment","7.00 NPM INC. 4910505191 07 MAR 24492164067000013620108","135.72",,"141180.25"
,"08/03/2024","8400/000 : FNB","74208474067000011542216","Account Payment","3.60 GETADDRESS.IO 4910505225 07 MAR 74208474067000011542216","88.94",,"141269.19"
,"09/03/2024","8400/000 : FNB","24021214068012609863853","Account Payment","171.35 PADDLE.NETD 4910505191 08 MAR 24021214068012609863853","3299.63",,"144568.82"
,"09/03/2024","8400/000 : FNB","24492164068000000097293","Account Payment","99.00 MIOSALON.COM 4910505225 07 MAR 24492164068000000097293","1919.49",,"146488.31"
,"09/03/2024","8400/000 : FNB","24492164068000000067155","Account Payment","99.00 MIOSALON.COM 4910505225 07 MAR 24492164068000000067155","1919.49",,"148407.8"
,"09/03/2024","8400/000 : FNB","24000774068000003905741","Account Payment","28.75 CLOUDFLARE 4910505191 08 MAR 24000774068000003905741","553.63",,"148961.43"
,"09/03/2024","8400/000 : FNB","74838424067102485556160","Account Payment","546.25 INTUIT QBoo 4910505225 07 MAR 74838424067102485556160","546.25",,"149507.68"
,"11/03/2024","8400/000 : FNB","24492164068000042875680","Account Payment","150.00 AUTH0.COM 4910505191 08 MAR 24492164068000042875680","2888.5",,"152396.18"
,"11/03/2024","8400/000 : FNB","24492164068000050171345","Account Payment","25.00 NOTION LABS 4910505191 08 MAR 24492164068000050171345","481.42",,"152877.6"
,"12/03/2024","8400/000 : FNB","74143254069000002269557","Account Payment","49.00 SKRAPP.IO STA 4910505191 09 MAR 74143254069000002269557","938.57",,"153816.17"
,"12/03/2024","8400/000 : FNB","24492164071000014844255","Account Payment","32.00 BUBBLE STARTE 4910505191 11 MAR 24492164071000014844255","612.94",,"154429.11"
,"12/03/2024","8400/000 : FNB","24492164070000012421230","Account Payment","25.00 NOTION LABS 4910505191 10 MAR 24492164070000012421230","478.86",,"154907.97"
,"12/03/2024","8400/000 : FNB","74143614071000933531282","Account Payment","345.00 FACEBK 7HE7 4910505191 10 MAR 74143614071000933531282","345",,"155252.97"
,"12/03/2024","8400/000 : FNB","24492164070000021571728","Account Payment","9.90 NOTION LABS I 4910505191 10 MAR 24492164070000021571728","189.63",,"155442.6"
,"12/03/2024","8400/000 : FNB","74143614071001100127565","Account Payment","3001.45 SHOPIFY 22 4910505225 10 MAR 74143614071001100127565","57491.16",,"212933.76"
,"12/03/2024","8400/000 : FNB","24011344071000019609364","Account Payment","99.00 DYNAMIC.XYZ 4910505191 11 MAR 24011344071000019609364","1896.29",,"214830.05"
,"13/03/2024","8400/000 : FNB","24492164071000034375397","Account Payment","189.00 GITHUB INC. 4910505225 11 MAR 24492164071000034375397","3620.19",,"218450.24"
,"13/03/2024","8400/000 : FNB","24492164071000034485832","Account Payment","63.00 GITHUB INC. 4910505225 11 MAR 24492164071000034485832","1206.73",,"219656.97"
,"13/03/2024","8400/000 : FNB","24492164071000034120397","Account Payment","42.00 GITHUB INC. 4910505225 11 MAR 24492164071000034120397","804.48",,"220461.45"
,"13/03/2024","8400/000 : FNB","74838424071105795137153","Account Payment","546.25 INTUIT QBoo 4910505225 11 MAR 74838424071105795137153","546.25",,"221007.7"
,"13/03/2024","8400/000 : FNB","74838424071105795137104","Account Payment","546.25 INTUIT QBoo 4910505225 11 MAR 74838424071105795137104","546.25",,"221553.95"
,"13/03/2024","8400/000 : FNB","24492164072000011883131","Account Payment","25.00 NOTION LABS 4910505191 12 MAR 24492164072000011883131","481.07",,"222035.02"
,"14/03/2024","8400/000 : FNB","24492164072000036530576","Account Payment","15.00 TABNINE 4910505191 12 MAR 24492164072000036530576","288.65",,"222323.67"
